burst_size_DIP,replicate_id,seed,peak_IFN,t_peak_IFN,scenario
100,1,-1,0.260565,160,baseline
100,1,-1,0.201853,96,baseline
100,1,-1,0.240004,112,baseline
100,1,-1,0.30116,120,baseline
100,1,-1,0.26912,113,baseline
100,1,-1,0.244192,152,baseline
100,1,-1,0.350261,154,baseline
100,1,-1,0.280597,103,baseline
100,1,-1,0.298807,115,baseline
100,1,-1,0.253176,130,baseline
100,1,-1,0.260738,108,baseline
100,1,-1,0.212668,166,baseline
100,1,-1,0.264056,130,baseline
100,1,-1,0.272938,96,baseline
100,1,-1,0.215649,109,baseline
100,1,-1,0.289604,108,baseline
100,1,-1,0.283502,120,baseline
100,1,-1,0.325939,121,baseline
100,1,-1,0.209604,101,baseline
100,1,-1,0.264288,146,baseline
100,1,-1,0.284646,130,baseline
100,1,-1,0.253588,164,baseline
100,1,-1,0.269298,318,baseline
100,1,-1,0.254466,97,baseline
100,1,-1,0.215153,105,baseline
100,1,-1,0.237328,90,baseline
100,1,-1,0.328199,134,baseline
100,1,-1,0.281317,145,baseline
100,1,-1,0.340577,127,baseline
100,1,-1,0.305959,98,baseline
200,1,-1,0.340002,114,baseline
200,1,-1,0.292868,151,baseline
200,1,-1,0.244583,102,baseline
200,1,-1,0.246383,75,baseline
200,1,-1,0.270052,192,baseline
200,1,-1,0.186889,85,baseline
200,1,-1,0.287189,183,baseline
200,1,-1,0.252169,97,baseline
200,1,-1,0.33238,123,baseline
200,1,-1,0.260043,147,baseline
200,1,-1,0.290662,107,baseline
200,1,-1,0.265255,110,baseline
200,1,-1,0.258079,136,baseline
200,1,-1,0.253129,132,baseline
200,1,-1,0.331308,119,baseline
200,1,-1,0.345784,106,baseline
200,1,-1,0.223998,105,baseline
200,1,-1,0.256808,169,baseline
200,1,-1,0.228428,84,baseline
200,1,-1,0.31869,171,baseline
200,1,-1,0.232231,138,baseline
200,1,-1,0.270753,117,baseline
200,1,-1,0.303444,96,baseline
200,1,-1,0.28487,99,baseline
200,1,-1,0.26567,140,baseline
200,1,-1,0.287612,94,baseline
200,1,-1,0.307571,96,baseline
200,1,-1,0.222898,121,baseline
200,1,-1,0.302222,91,baseline
200,1,-1,0.297416,179,baseline
300,1,-1,0.264874,115,baseline
300,1,-1,0.319813,134,baseline
300,1,-1,0.2772,152,baseline
300,1,-1,0.249334,239,baseline
300,1,-1,0.25205,134,baseline
300,1,-1,0.387196,120,baseline
300,1,-1,0.238775,88,baseline
300,1,-1,0.327853,119,baseline
300,1,-1,0.335189,161,baseline
300,1,-1,0.253464,142,baseline
300,1,-1,0.292982,85,baseline
300,1,-1,0.253617,280,baseline
300,1,-1,0.246415,156,baseline
300,1,-1,0.249355,104,baseline
300,1,-1,0.345724,100,baseline
300,1,-1,0.293743,131,baseline
300,1,-1,0.262134,95,baseline
300,1,-1,0.303711,115,baseline
300,1,-1,0.324307,114,baseline
300,1,-1,0.270959,157,baseline
300,1,-1,0.224619,200,baseline
300,1,-1,0.30886,93,baseline
300,1,-1,0.328595,137,baseline
300,1,-1,0.415785,128,baseline
300,1,-1,0.191002,191,baseline
300,1,-1,0.2397,109,baseline
300,1,-1,0.288261,220,baseline
300,1,-1,0.295316,183,baseline
300,1,-1,0.306224,88,baseline
300,1,-1,0.261563,150,baseline
400,1,-1,0.278064,176,baseline
400,1,-1,0.270385,88,baseline
400,1,-1,0.256674,139,baseline
400,1,-1,0.250663,186,baseline
400,1,-1,0.272205,127,baseline
400,1,-1,0.283959,176,baseline
400,1,-1,0.331665,114,baseline
400,1,-1,0.269988,135,baseline
400,1,-1,0.196822,131,baseline
400,1,-1,0.280492,95,baseline
400,1,-1,0.211523,85,baseline
400,1,-1,0.302802,145,baseline
400,1,-1,0.247455,110,baseline
400,1,-1,0.350121,142,baseline
400,1,-1,0.375179,87,baseline
400,1,-1,0.294112,92,baseline
400,1,-1,0.261654,157,baseline
400,1,-1,0.262902,131,baseline
400,1,-1,0.283275,84,baseline
400,1,-1,0.223728,122,baseline
400,1,-1,0.332666,108,baseline
400,1,-1,0.330586,116,baseline
400,1,-1,0.323064,101,baseline
400,1,-1,0.390113,157,baseline
400,1,-1,0.347785,127,baseline
400,1,-1,0.29061,128,baseline
400,1,-1,0.26208,89,baseline
400,1,-1,0.248182,162,baseline
400,1,-1,0.26527,136,baseline
400,1,-1,0.301875,171,baseline
500,1,-1,0.298003,98,baseline
500,1,-1,0.338902,140,baseline
500,1,-1,0.319891,82,baseline
500,1,-1,0.311798,160,baseline
500,1,-1,0.338825,128,baseline
500,1,-1,0.250631,421,baseline
500,1,-1,0.284943,120,baseline
500,1,-1,0.31079,148,baseline
500,1,-1,0.336355,108,baseline
500,1,-1,0.309306,139,baseline
500,1,-1,0.242241,116,baseline
500,1,-1,0.245323,107,baseline
500,1,-1,0.279128,110,baseline
500,1,-1,0.306699,136,baseline
500,1,-1,0.369494,131,baseline
500,1,-1,0.258613,140,baseline
500,1,-1,0.309903,203,baseline
500,1,-1,0.320644,181,baseline
500,1,-1,0.216377,161,baseline
500,1,-1,0.273061,116,baseline
500,1,-1,0.345641,203,baseline
500,1,-1,0.310261,152,baseline
500,1,-1,0.364936,141,baseline
500,1,-1,0.252914,170,baseline
500,1,-1,0.276513,100,baseline
500,1,-1,0.234806,116,baseline
500,1,-1,0.267097,154,baseline
500,1,-1,0.238746,171,baseline
500,1,-1,0.274002,142,baseline
500,1,-1,0.310039,153,baseline
600,1,-1,0.291275,104,baseline
600,1,-1,0.26255,166,baseline
600,1,-1,0.270928,108,baseline
600,1,-1,0.278335,159,baseline
600,1,-1,0.308611,172,baseline
600,1,-1,0.368345,123,baseline
600,1,-1,0.281487,284,baseline
600,1,-1,0.363325,114,baseline
600,1,-1,0.20765,154,baseline
600,1,-1,0.322532,78,baseline
600,1,-1,0.348003,120,baseline
600,1,-1,0.383084,120,baseline
600,1,-1,0.244739,176,baseline
600,1,-1,0.32985,193,baseline
600,1,-1,0.27701,100,baseline
600,1,-1,0.319643,163,baseline
600,1,-1,0.261886,125,baseline
600,1,-1,0.252506,110,baseline
600,1,-1,0.268308,101,baseline
600,1,-1,0.285375,84,baseline
600,1,-1,0.318748,96,baseline
600,1,-1,0.261437,102,baseline
600,1,-1,0.251659,196,baseline
600,1,-1,0.368222,113,baseline
600,1,-1,0.305751,115,baseline
600,1,-1,0.259796,126,baseline
600,1,-1,0.342984,117,baseline
600,1,-1,0.225475,59,baseline
600,1,-1,0.440411,107,baseline
600,1,-1,0.276946,85,baseline
650,2,-1,0.301789,120,baseline
650,2,-1,0.304107,99,baseline
650,2,-1,0.280499,141,baseline
650,2,-1,0.305575,92,baseline
650,2,-1,0.254532,124,baseline
650,2,-1,0.34566,97,baseline
650,2,-1,0.305759,215,baseline
650,2,-1,0.256391,88,baseline
650,2,-1,0.273464,95,baseline
650,2,-1,0.272611,166,baseline
650,2,-1,0.264879,93,baseline
650,2,-1,0.302282,213,baseline
650,2,-1,0.321996,164,baseline
650,2,-1,0.282904,102,baseline
650,2,-1,0.299422,108,baseline
650,2,-1,0.271772,93,baseline
650,2,-1,0.308169,157,baseline
650,2,-1,0.251711,157,baseline
650,2,-1,0.423052,101,baseline
650,2,-1,0.245434,110,baseline
650,2,-1,0.32884,112,baseline
650,2,-1,0.295837,100,baseline
650,2,-1,0.367521,121,baseline
650,2,-1,0.245888,203,baseline
650,2,-1,0.367444,133,baseline
650,2,-1,0.326986,107,baseline
650,2,-1,0.36789,105,baseline
650,2,-1,0.318637,192,baseline
650,2,-1,0.351754,138,baseline
650,2,-1,0.316665,163,baseline
680,2,-1,0.259605,103,baseline
680,2,-1,0.236209,99,baseline
680,2,-1,0.23904,81,baseline
680,2,-1,0.275101,229,baseline
680,2,-1,0.242015,89,baseline
680,2,-1,0.28971,88,baseline
680,2,-1,0.299818,117,baseline
680,2,-1,0.269899,129,baseline
680,2,-1,0.242735,173,baseline
680,2,-1,0.338508,88,baseline
680,2,-1,0.274716,176,baseline
680,2,-1,0.316849,111,baseline
680,2,-1,0.306803,156,baseline
680,2,-1,0.266235,119,baseline
680,2,-1,0.271446,138,baseline
680,2,-1,0.292198,123,baseline
680,2,-1,0.289663,195,baseline
680,2,-1,0.290018,131,baseline
680,2,-1,0.200003,154,baseline
680,2,-1,0.250207,103,baseline
680,2,-1,0.307379,109,baseline
680,2,-1,0.282142,142,baseline
680,2,-1,0.372082,151,baseline
680,2,-1,0.281843,79,baseline
680,2,-1,0.297559,127,baseline
680,2,-1,0.373217,150,baseline
680,2,-1,0.334488,90,baseline
680,2,-1,0.256225,160,baseline
680,2,-1,0.286745,100,baseline
680,2,-1,0.251991,164,baseline
685,2,-1,0.282671,114,baseline
685,2,-1,0.385086,129,baseline
685,2,-1,0.228627,95,baseline
685,2,-1,0.300819,111,baseline
685,2,-1,0.25992,287,baseline
685,2,-1,0.307915,114,baseline
685,2,-1,0.287241,75,baseline
685,2,-1,0.236248,107,baseline
685,2,-1,0.259259,120,baseline
685,2,-1,0.310202,220,baseline
685,2,-1,0.361499,132,baseline
685,2,-1,0.259982,119,baseline
685,2,-1,0.312258,108,baseline
685,2,-1,0.308357,137,baseline
685,2,-1,0.336841,123,baseline
685,2,-1,0.282361,172,baseline
685,2,-1,0.322859,108,baseline
685,2,-1,0.362601,70,baseline
685,2,-1,0.28723,176,baseline
685,2,-1,0.273208,127,baseline
685,2,-1,0.264261,200,baseline
685,2,-1,0.285422,110,baseline
685,2,-1,0.285097,150,baseline
685,2,-1,0.241158,102,baseline
685,2,-1,0.322687,151,baseline
685,2,-1,0.344996,119,baseline
685,2,-1,0.33041,188,baseline
685,2,-1,0.197244,107,baseline
685,2,-1,0.273095,86,baseline
685,2,-1,0.298466,156,baseline
690,2,-1,0.272058,100,baseline
690,2,-1,0.28376,112,baseline
690,2,-1,0.287363,96,baseline
690,2,-1,0.295063,110,baseline
690,2,-1,0.325698,115,baseline
690,2,-1,0.324199,99,baseline
690,2,-1,0.280162,140,baseline
690,2,-1,0.318225,112,baseline
690,2,-1,0.285787,115,baseline
690,2,-1,0.327935,103,baseline
690,2,-1,0.375293,218,baseline
690,2,-1,0.424668,180,baseline
690,2,-1,0.280425,116,baseline
690,2,-1,0.266961,82,baseline
690,2,-1,0.262691,133,baseline
690,2,-1,0.262997,93,baseline
690,2,-1,0.354703,151,baseline
690,2,-1,0.303515,159,baseline
690,2,-1,0.234918,126,baseline
690,2,-1,0.273483,160,baseline
690,2,-1,0.249963,172,baseline
690,2,-1,0.27853,138,baseline
690,2,-1,0.266432,143,baseline
690,2,-1,0.312766,135,baseline
690,2,-1,0.291812,144,baseline
690,2,-1,0.291633,70,baseline
690,2,-1,0.276686,93,baseline
690,2,-1,0.266193,91,baseline
690,2,-1,0.315174,130,baseline
690,2,-1,0.324741,143,baseline
695,2,-1,0.272738,166,baseline
695,2,-1,0.238897,82,baseline
695,2,-1,0.322108,93,baseline
695,2,-1,0.216114,123,baseline
695,2,-1,0.258518,112,baseline
695,2,-1,0.305455,128,baseline
695,2,-1,0.312409,127,baseline
695,2,-1,0.332418,121,baseline
695,2,-1,0.37944,126,baseline
695,2,-1,0.246228,98,baseline
695,2,-1,0.238571,73,baseline
695,2,-1,0.274311,127,baseline
695,2,-1,0.242013,96,baseline
695,2,-1,0.336987,173,baseline
695,2,-1,0.345531,119,baseline
695,2,-1,0.251875,118,baseline
695,2,-1,0.288859,109,baseline
695,2,-1,0.276446,144,baseline
695,2,-1,0.324193,247,baseline
695,2,-1,0.258011,201,baseline
695,2,-1,0.277147,120,baseline
695,2,-1,0.300029,105,baseline
695,2,-1,0.326077,137,baseline
695,2,-1,0.29855,130,baseline
695,2,-1,0.34185,81,baseline
695,2,-1,0.304952,105,baseline
695,2,-1,0.380138,119,baseline
695,2,-1,0.221105,145,baseline
695,2,-1,0.293105,95,baseline
695,2,-1,0.234642,94,baseline
700,2,-1,0.245546,99,baseline
700,1,-1,0.297748,136,baseline
700,2,-1,0.299433,131,baseline
700,1,-1,0.267799,128,baseline
700,1,-1,0.245556,114,baseline
700,2,-1,0.306525,115,baseline
700,2,-1,0.317493,104,baseline
700,1,-1,0.232305,175,baseline
700,1,-1,0.277269,190,baseline
700,2,-1,0.256206,227,baseline
700,1,-1,0.327016,165,baseline
700,2,-1,0.267054,94,baseline
700,2,-1,0.223947,64,baseline
700,1,-1,0.297747,307,baseline
700,1,-1,0.285483,139,baseline
700,2,-1,0.28643,95,baseline
700,1,-1,0.300984,141,baseline
700,2,-1,0.280894,116,baseline
700,1,-1,0.199405,158,baseline
700,1,-1,0.288681,144,baseline
700,2,-1,0.350025,169,baseline
700,2,-1,0.295099,106,baseline
700,1,-1,0.323113,146,baseline
700,1,-1,0.322644,94,baseline
700,1,-1,0.258288,168,baseline
700,1,-1,0.272525,77,baseline
700,1,-1,0.250972,155,baseline
700,2,-1,0.256428,112,baseline
700,2,-1,0.316016,121,baseline
700,1,-1,0.258784,158,baseline
700,1,-1,0.255736,96,baseline
700,2,-1,0.247946,175,baseline
700,2,-1,0.367785,101,baseline
700,2,-1,0.223476,104,baseline
700,2,-1,0.288638,91,baseline
700,2,-1,0.264457,100,baseline
700,2,-1,0.281637,77,baseline
700,1,-1,0.27077,97,baseline
700,1,-1,0.313097,159,baseline
700,2,-1,0.284321,115,baseline
700,2,-1,0.319829,95,baseline
700,2,-1,0.265283,99,baseline
700,1,-1,0.274966,114,baseline
700,1,-1,0.321068,179,baseline
700,2,-1,0.355703,161,baseline
700,1,-1,0.294678,141,baseline
700,2,-1,0.238163,152,baseline
700,2,-1,0.342854,99,baseline
700,1,-1,0.380254,163,baseline
700,1,-1,0.361446,105,baseline
700,2,-1,0.250965,124,baseline
700,2,-1,0.28395,101,baseline
700,2,-1,0.378179,109,baseline
700,2,-1,0.359363,111,baseline
700,2,-1,0.267956,109,baseline
700,1,-1,0.308347,87,baseline
700,1,-1,0.329743,138,baseline
700,1,-1,0.296461,142,baseline
700,1,-1,0.293993,127,baseline
700,1,-1,0.337514,113,baseline
705,2,-1,0.23089,123,baseline
705,2,-1,0.296647,206,baseline
705,2,-1,0.301461,137,baseline
705,2,-1,0.265946,92,baseline
705,2,-1,0.332705,121,baseline
705,2,-1,0.340176,147,baseline
705,2,-1,0.29479,153,baseline
705,2,-1,0.303501,133,baseline
705,2,-1,0.345456,98,baseline
705,2,-1,0.285523,130,baseline
705,2,-1,0.282996,109,baseline
705,2,-1,0.351311,129,baseline
705,2,-1,0.247333,125,baseline
705,2,-1,0.272086,138,baseline
705,2,-1,0.298753,274,baseline
705,2,-1,0.338458,153,baseline
